City,Price(TRY),Brand,Series,Model,Year,Mileage(km),TransmissionType,FuelType,BodyType,EngineSize(cc),EnginePower(HP),DriveTrain,ListingYear,ListingMonth,ListingDay
44,2375000,0,27,1132,2016,205000,0,0,6,1801,176,0,2025,4,6
41,530000,0,25,1097,2005,300000,1,4,6,1595,102,1,2025,4,6
77,17450000,0,92,1169,2023,7600,0,2,7,3501,576,0,2025,4,6
0,845000,0,23,689,2012,78045,0,0,3,1401,76,1,2025,4,6
60,625000,0,24,1065,2009,229000,0,2,3,1401,101,1,2025,4,6
77,339500,0,24,1034,2005,318000,1,4,2,1401,101,1,2025,4,6
77,855000,0,101,860,2008,200000,0,2,1,1801,201,1,2025,4,6
5,1099000,0,24,1041,2013,153000,0,2,6,1201,126,1,2025,4,6
61,2325000,0,27,1132,2018,240000,0,0,6,1801,176,0,2025,4,6
50,1468000,0,26,1120,2012,233000,0,0,3,1801,176,1,2025,4,6
65,2370000,0,27,1132,2017,184000,0,0,6,1801,176,0,2025,4,6
77,1447500,0,24,1076,2017,63376,0,0,3,1401,101,1,2025,4,6
77,1510000,0,24,1050,2019,131000,0,0,6,1401,101,1,2025,4,6
77,1128000,0,24,1043,2015,120000,0,0,6,1401,101,1,2025,4,6
77,1550000,0,25,1095,2015,93000,0,2,6,1201,126,1,2025,4,6
22,980000,0,24,1044,2016,218600,0,0,6,1401,101,1,2025,4,6
77,939000,0,24,1043,2016,194000,0,0,6,1401,101,1,2025,4,6
34,985000,0,25,1101,2012,277000,0,0,6,1801,126,1,2025,4,6
41,995000,0,24,1044,2014,227000,0,0,6,1401,101,1,2025,4,6
36,3024900,0,27,1132,2018,85000,0,0,6,1801,176,0,2025,4,6
44,1040000,0,25,1104,2013,270000,0,0,6,1801,176,0,2025,4,6
11,875000,0,24,1073,2012,228000,0,0,3,1401,101,1,2025,4,6
34,745000,0,24,1061,2010,200000,0,2,3,1201,101,1,2025,4,6
37,1175000,0,24,1061,2013,127500,2,2,3,1395,140,1,2025,4,6
55,630000,0,24,1066,2008,170000,1,2,2,1595,102,1,2025,4,6
77,900000,0,24,1044,2015,188000,2,0,6,1598,110,1,2025,4,5
2,585000,0,25,1099,2004,371000,0,4,6,1781,163,1,2025,4,5
44,220000,0,27,1130,2004,580000,2,0,6,1896,130,1,2025,4,5
53,975000,0,27,1127,2008,263000,0,0,7,1968,136,1,2025,4,5
77,1875000,0,25,1095,2018,79000,2,2,6,1395,150,1,2025,4,5
44,290000,0,25,1098,1996,302000,0,4,6,1781,125,1,2025,4,5
5,575000,0,24,1067,2007,227000,1,2,2,1595,115,1,2025,4,5
51,1475000,0,24,1049,2019,161000,0,0,6,1401,101,1,2025,4,5
29,3980000,0,27,1139,2020,79700,0,0,6,1801,201,0,2025,4,5
60,1370000,0,24,1044,2015,95500,0,0,6,1401,101,1,2025,4,5
0,1575000,0,24,1055,2020,78000,0,2,6,1401,126,1,2025,4,5
5,2160000,0,27,1136,2015,299000,0,0,6,2967,320,0,2025,4,5
22,3175000,0,26,1125,2021,109000,0,0,3,1801,201,0,2025,4,5
53,1600000,0,24,1048,2017,110000,0,0,6,1401,101,1,2025,4,5
52,3575000,0,27,1139,2020,170000,0,0,6,1801,201,0,2025,4,5
29,1490000,0,24,1045,2018,75000,0,0,6,1401,101,1,2025,4,5
2,1259000,0,24,1045,2016,134000,0,0,6,1401,101,1,2025,4,5
41,2099750,0,24,1053,2023,31000,0,2,6,1401,126,1,2025,4,5
57,555000,0,25,1101,2007,340000,0,0,6,1968,140,1,2025,4,5
77,1120000,0,24,1042,2015,179000,0,0,6,1401,101,1,2025,4,5
77,2765000,0,25,1110,2021,54000,0,0,6,1801,201,0,2025,4,5
77,1149000,0,25,1101,2014,150000,0,0,6,1968,150,1,2025,4,5
77,2169000,0,25,1109,2019,74472,0,0,6,1801,176,1,2025,4,5
77,2375000,0,24,1083,2024,6001,0,2,3,1401,126,1,2025,4,5
5,1865900,0,24,1053,2022,52000,0,4,6,1401,126,1,2025,4,5
43,1789850,0,24,1053,2021,178000,0,2,6,1401,126,1,2025,4,5
58,1830000,0,27,1132,2016,193000,0,0,6,1801,176,0,2025,4,8
77,2485000,0,25,1110,2020,90000,0,0,6,1801,201,0,2025,4,5
1,1150000,0,24,1043,2015,215000,0,0,6,1401,101,1,2025,4,5
29,1050000,0,26,1120,2013,315000,0,0,3,1801,176,1,2025,4,5
5,1888900,0,24,1053,2022,57000,0,4,6,1401,126,1,2025,4,5
77,2040000,0,27,1132,2016,170000,0,0,6,1801,176,0,2025,4,5
29,3850000,0,26,1124,2024,6200,0,0,3,1801,201,0,2025,4,5
65,1110900,0,24,1042,2014,202000,0,0,6,1401,101,1,2025,4,5
28,525750,0,24,1066,2006,299000,1,2,3,1595,102,1,2025,4,5
5,1480000,0,25,1089,2016,164000,0,2,7,1201,126,1,2025,4,5
0,1460000,0,25,1102,2017,316000,0,0,6,1801,176,1,2025,4,5
27,915000,0,24,1057,2016,145000,0,2,3,1200,101,1,2025,4,5
5,1379000,0,24,1085,2019,99000,0,2,3,1401,126,1,2025,4,5
79,1710000,0,25,1109,2019,201000,0,0,6,1801,176,1,2025,4,5
78,645000,0,24,1065,2008,225000,0,4,3,1401,101,1,2025,4,5
2,1350000,0,25,1104,2013,187000,0,0,6,1801,176,0,2025,4,5
33,1210000,0,27,1131,2012,286000,0,0,6,1968,177,1,2025,4,5
79,1597000,0,25,1103,2017,238230,0,0,6,1801,176,1,2025,4,5
44,645000,0,25,1099,2005,320000,0,4,6,1601,151,1,2025,4,5
40,1437000,0,24,1046,2017,71000,0,0,6,1401,101,1,2025,4,5
60,970000,0,27,1131,2011,312000,0,0,6,1968,170,1,2025,4,5
27,1145000,0,24,1044,2015,110000,2,0,6,1598,110,1,2025,4,5
5,1175000,0,25,1101,2015,214000,0,0,6,1968,150,1,2025,4,5
51,2550000,0,25,1112,2020,135000,2,0,6,1968,204,1,2025,4,5
6,2460000,0,27,1133,2017,138000,2,2,6,1984,252,0,2025,4,5
20,1200000,0,24,1042,2016,130000,2,0,6,1598,110,1,2025,4,5
44,620000,0,24,1061,2009,298000,2,2,3,1390,125,1,2025,4,5
43,1290000,0,24,1072,2016,137000,2,0,3,1598,110,1,2025,4,5
0,1160000,0,25,1101,2014,259500,0,0,6,1968,150,1,2025,4,5
77,1096500,0,24,1046,2016,201832,0,0,6,1401,101,1,2025,4,5
70,1485000,0,24,1054,2020,150000,0,2,6,,,1,2025,4,5
61,1495000,0,24,1076,2018,89000,2,0,3,1598,116,3,2025,4,5
